Feature,Fisher_Score
PYGL,530.0813200807161
ACTN2,529.9267891148464
LRP4,529.8182703576906
ANKZF1,529.8031458840468
DPH2,529.6438320592924
IL13RA1,529.5869757467552
LRCH4,529.3471443134813
SLC25A5,529.3336648232156
PPEF1,529.3042002082445
LPA,529.103671602364
HNRPD,528.7675505207196
CCDC56,527.7583775646006
NDFIP2,527.7098886851805
VLDLR,527.4405285840851
IL3RA,527.3047283025094
CA4,527.1741877445777
CROCC,527.0937281193627
LAMB2,527.0272907841346
TAC3,526.8322788620364
TMCO4,526.812430746189
A4GALT,526.7793443827927
ULK2,526.6034531410306
EPHA2,526.556448361253
POLR3K,526.3768289442478
MT2A,526.3636929590081
CASP7,526.1215848736256
MXI1,526.0688306154885
TRAF3IP2,526.0166281295451
PFKFB3,525.9292199156538
EIF4E,525.6749518814593
C6orf115,525.3565159571785
FNDC4,525.1030048269142
DOPEY2,524.8105659500275
KCNA4,524.7977764230135
ZNF215,524.4818756089162
NDUFS4,524.0953915825721
LRFN2,523.8619136368418
FXYD5,523.6322446111124
SMAD4,523.5955505347281
WDR54,522.7194073394514
WWC3,522.6601411358508
ASB2,522.5642987093435
SH3GL2,522.5468347854581
XKR4,522.4995884434167
C9orf88,522.4845987105039
ZNF384,522.4534313941679
SQRDL,521.321509946886
NDUFS6,521.0693941695115
PSCD2L,521.0048151142549
SLC25A27,520.8906868161441
DNAJC6,520.7572316338301
SEC61A1,520.4547810905513
C3orf14,520.4304018111362
PARP9,520.4287244959917
DDIT4,519.60942402509
TUBA1,519.0770027663991
IL17RB,518.9495359484977
AQP11,518.8813907942033
VAT1,518.8067525216336
NEDD4,518.7987759577547
NDUFV2,518.6000857969804
PCDH19,518.4858379367729
IL10RA,517.8968908113102
ANG,517.8288333145197
CECR6,516.9077006002134
TRIM67,516.7962514169436
BRUNOL4,516.7567731002285
SMYD2,516.7490360158733
CALB1,516.6422766588521
PCMTD1,516.5744364952243
RAB7L1,516.4869820013953
SMG5,516.2961547264928
AP3B2,516.2832904170034
OTOS,516.1383012819798
CASP6,515.5920004495795
DMXL2,515.3456728341793
KCNK3,515.2875035040042
PLA1A,515.2839276232033
PECAM1,515.2458876637421
ZBTB40,515.1885142275642
POLR3B,515.033458176222
C16orf53,514.5775600560023
HMHA1,514.0197609188647
TRUB1,513.9410719257072
TNRC8,513.8517815303508
STK32C,513.8353619857393
tcag7.981,513.664951137875
CCDC85A,513.2562144851729
ABHD4,512.9895328428075
MRPL1,512.776597482818
C10orf70,512.7593219406031
NBEA,512.3104910312297
IFT140,512.2840671492108
STX1A,512.2343577387446
CDK5,512.1983240108866
ARHGAP30,512.0710177348965
TGIF,512.0173197730069
CAMKV,512.0032176700057
SULT4A1,511.8450886647048
C7,511.7759349167002
DLEU8,511.315757567006
ERBB2IP,511.2441982912054
STAT5B,511.1942561946918
FBLN1,511.0962732618296
AATF,511.0931428259904
GSDMDC1,511.0207240964527
C7orf24,511.0091804550293
C11orf69,510.70790400077703
RTN4R,510.6637904620869
RP11-323H21.4,510.56002439349686
DDN,510.51599038574705
EIF2B3,510.30964718341403
PCMT1,510.18057854256455
SYN3,509.97625440086165
EMX2,509.60013311714965
SPR,509.56503364552293
EEF1D,509.1759297796798
COQ3,509.0995582933165
HTR7P,508.62851958869226
C9orf91,508.3925023784727
TSPYL4,508.24204310386085
GRIK2,508.04564006855526
RASAL1,507.6564115608174
FKBP3,507.6473584049314
NOVA1,507.47217478077926
RQCD1,507.4142614872276
DNAJC19,507.23826366217605
CGB2,506.8406961943438
ARHGEF9,506.7837500008114
CCDC50,506.76614121897023
SLC4A11,506.6301869546017
FH,506.51107506031633
TCEAL4,505.9539132412908
KCNIP1,505.94317618059904
SCGB1A1,505.93814207013656
DOC2A,505.90615432889314
APLN,505.7280278988059
NTN4,505.49217139734964
PHYH2,505.43297992064447
MAPT,505.33574494692255
ATG7,505.31543106906224
LMO4,505.03374906559117
ZC3H12C,504.91371158992513
RPS27L,504.6783647467379
GRIN3A,504.5238399079762
IL18,504.37766033133613
RASGRP1,503.72416695693596
PCSK2,503.69076113797126
ATP6AP2,502.86810439648866
TRIM22,502.75697211704005
ABCA1,502.646904626096
C2orf30,502.3328412293954
C6orf55,502.3050754550243
EGR2,502.2395904954142
CHL1,502.0943730304345
TNRC9,501.9640146775204
CLIC1,501.89508137202915
ECHDC3,501.5738478101361
MGAT1,501.5073383396763
ATP6V0E,501.2654050575601
PRCP,501.19404995869985
IQWD1,500.637818740812
CCDC88,500.31553534027654
STXBP1,500.2222511997511
HIRIP5,499.9805438794849
STK3,499.6198177649053
TSPAN32,499.46463031320616
CCNH,499.38639229675005
MYH10,499.3595497097392
BAZ1A,499.28003267416125
CACNA1D,499.01425490532336
